image,class_id,class_name,confidence,x1,y1,x2,y2
000034_jpg.rf.abb912bdf5d72f7b6b981cba468372a0.jpg,0,aircraft,0.401,212.8,135.61,385.88,444.71
000035_jpg.rf.09f0503b7249a703bd9f68ad03b7643b.jpg,0,aircraft,0.3901,164.92,40.26,604.04,472.65
000039_jpg.rf.b77e0ab12fbe9c5461a654ecb19c2c33.jpg,3,shipwreck,0.312,208.68,302.99,271.76,634.18
000039_jpg.rf.b77e0ab12fbe9c5461a654ecb19c2c33.jpg,3,shipwreck,0.2921,209.17,392.36,268.69,608.02
000039_jpg.rf.b77e0ab12fbe9c5461a654ecb19c2c33.jpg,0,aircraft,0.271,1.31,102.59,459.95,640.0
000048_jpg.rf.d5f23e4aaf4dd1178e17dd70db9b306c.jpg,3,shipwreck,0.2818,81.43,73.81,481.27,535.53
000069_jpg.rf.2fcaa00d68fd785522c6abbf766f9466.jpg,0,aircraft,0.7334,12.74,5.04,465.47,593.9
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,3,shipwreck,0.3474,508.51,12.5,547.34,70.91
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,0,aircraft,0.3224,36.02,18.7,540.44,590.6
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,2,other,0.2684,501.65,7.1,551.64,73.66
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,3,shipwreck,0.2566,299.59,26.09,345.82,223.49
000088_jpg.rf.f50d7e201469412e717bb161b2d6dd89.jpg,0,aircraft,0.476,33.59,69.3,554.09,640.0
000088_jpg.rf.f50d7e201469412e717bb161b2d6dd89.jpg,0,aircraft,0.2525,145.02,53.0,597.75,637.04
000097_jpg.rf.7408a01f35540615033c4fdeaa9c7699.jpg,0,aircraft,0.3035,64.13,105.15,486.73,594.61
000100_jpg.rf.32ba9085961e2e622dad84b56e801a78.jpg,0,aircraft,0.8486,184.7,116.88,578.31,521.11
000107_jpg.rf.5917715e96839b45c9f46b393a9e9642.jpg,0,aircraft,0.645,96.96,127.58,604.17,538.57
000109_jpg.rf.a22cc4e5913e2a401835bd836e4bc999.jpg,0,aircraft,0.3686,107.88,25.07,496.18,551.95
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,1,fish,0.2974,551.38,324.28,560.01,376.63
000163_jpg.rf.d2c6577c810efd84a6bda2992885bcca.jpg,2,other,0.2938,52.94,256.86,197.78,328.14
000169_jpg.rf.45eaf48c62028a6cde2a4dda75431565.jpg,2,other,0.4326,79.96,139.31,158.43,222.78
000169_jpg.rf.45eaf48c62028a6cde2a4dda75431565.jpg,3,shipwreck,0.4032,349.22,50.93,488.25,331.23
000188_jpg.rf.65449d34bc1902850758c783b3a61b66.jpg,3,shipwreck,0.4079,271.13,183.14,437.55,426.35
000235_jpg.rf.0437fd120925f5eb7c13b2508b7b1189.jpg,3,shipwreck,0.3368,82.4,157.38,425.93,542.22
000240_jpg.rf.f22e95fd245f1a7ec0f5637e34b298fa.jpg,3,shipwreck,0.4218,129.38,279.31,270.22,566.72
000245_jpg.rf.8b435b49b0a7df52d9b6312c39c221f8.jpg,3,shipwreck,0.3496,200.69,240.2,294.61,414.92
000256_jpg.rf.fcd2c4360185fb75279517ff6fb5b63a.jpg,3,shipwreck,0.3273,91.35,108.33,479.97,252.51
000261_jpg.rf.ed799e6e25de367fd018b9aa2ce02191.jpg,3,shipwreck,0.6592,1.48,256.94,515.78,437.85
000261_jpg.rf.ed799e6e25de367fd018b9aa2ce02191.jpg,3,shipwreck,0.5074,0.0,273.62,518.18,499.45
000261_jpg.rf.ed799e6e25de367fd018b9aa2ce02191.jpg,3,shipwreck,0.4089,97.92,244.98,514.38,412.46
000263_jpg.rf.7347847c72fc8a781d0a79380b1bff12.jpg,3,shipwreck,0.8563,234.5,169.02,300.53,425.56
000271_jpg.rf.1332d9e92475ded141829ed086e0fa00.jpg,3,shipwreck,0.6266,224.33,131.23,404.33,529.15
000271_jpg.rf.1332d9e92475ded141829ed086e0fa00.jpg,3,shipwreck,0.3037,29.79,129.24,406.76,534.34
000272_jpg.rf.0caa052f87c0e2f65a3b86f172bbc9ef.jpg,3,shipwreck,0.2708,86.33,157.06,489.77,640.0
000276_jpg.rf.36ea31f7222c6bc6b2688bdbad48aab5.jpg,3,shipwreck,0.7868,128.38,142.36,518.38,301.35
