image,class_id,class_name,confidence,x1,y1,x2,y2
000002_jpg.rf.bee0e8fc28627c80a1ab1e7389701a0f.jpg,3,shipwreck,0.2722,183.05,219.03,592.79,508.36
000022_jpg.rf.d781ce9ec0835cb56a667163a7be9435.jpg,0,aircraft,0.9645,19.02,76.21,569.03,639.01
000034_jpg.rf.abb912bdf5d72f7b6b981cba468372a0.jpg,0,aircraft,0.6146,219.54,143.8,375.9,435.83
000035_jpg.rf.09f0503b7249a703bd9f68ad03b7643b.jpg,2,other,0.4304,190.13,152.69,356.44,434.57
000039_jpg.rf.b77e0ab12fbe9c5461a654ecb19c2c33.jpg,0,aircraft,0.9383,3.68,68.1,605.22,635.9
000048_jpg.rf.d5f23e4aaf4dd1178e17dd70db9b306c.jpg,3,shipwreck,0.6094,93.57,104.12,484.27,505.06
000048_jpg.rf.d5f23e4aaf4dd1178e17dd70db9b306c.jpg,3,shipwreck,0.3442,95.92,247.99,432.43,499.22
000069_jpg.rf.2fcaa00d68fd785522c6abbf766f9466.jpg,0,aircraft,0.9816,5.31,18.69,451.62,616.18
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,0,aircraft,0.7199,0.0,6.19,633.03,595.76
000077_jpg.rf.1c2ae26ffc5189190123781aeb040084.jpg,3,shipwreck,0.3324,507.41,12.25,548.07,71.72
000088_jpg.rf.f50d7e201469412e717bb161b2d6dd89.jpg,0,aircraft,0.9824,22.88,68.78,590.92,621.93
000097_jpg.rf.7408a01f35540615033c4fdeaa9c7699.jpg,0,aircraft,0.7894,64.85,101.14,491.06,514.49
000100_jpg.rf.32ba9085961e2e622dad84b56e801a78.jpg,0,aircraft,0.9769,185.82,111.95,571.51,574.35
000121_jpg.rf.b204961a24fbc33a0d280f7d3ed08d5f.jpg,3,shipwreck,0.3578,130.26,1.2,312.73,59.54
000121_jpg.rf.b204961a24fbc33a0d280f7d3ed08d5f.jpg,3,shipwreck,0.2551,0.0,254.48,628.92,636.65
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,1,fish,0.497,192.01,153.7,207.52,212.7
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,1,fish,0.3241,194.44,153.67,207.65,187.66
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,1,fish,0.2786,190.76,153.76,205.14,194.91
000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,1,fish,0.2515,480.3,272.6,491.08,298.53
000157_jpg.rf.b7f0f17d24bcf10d69d69a9a9790e2ef.jpg,2,other,0.3911,157.59,87.61,507.43,281.62
000163_jpg.rf.d2c6577c810efd84a6bda2992885bcca.jpg,2,other,0.305,127.47,500.54,163.85,567.99
000169_jpg.rf.45eaf48c62028a6cde2a4dda75431565.jpg,2,other,0.5478,341.59,194.35,495.26,330.34
000169_jpg.rf.45eaf48c62028a6cde2a4dda75431565.jpg,2,other,0.255,345.48,125.67,495.29,330.05
000188_jpg.rf.65449d34bc1902850758c783b3a61b66.jpg,3,shipwreck,0.5518,278.26,173.27,438.37,423.44
000188_jpg.rf.65449d34bc1902850758c783b3a61b66.jpg,3,shipwreck,0.4958,282.69,283.48,383.76,421.22
000235_jpg.rf.0437fd120925f5eb7c13b2508b7b1189.jpg,3,shipwreck,0.8989,136.92,148.17,420.5,491.68
000240_jpg.rf.f22e95fd245f1a7ec0f5637e34b298fa.jpg,3,shipwreck,0.4569,183.53,275.98,265.11,517.24
000245_jpg.rf.8b435b49b0a7df52d9b6312c39c221f8.jpg,2,other,0.3154,200.17,239.74,287.55,411.36
000256_jpg.rf.fcd2c4360185fb75279517ff6fb5b63a.jpg,3,shipwreck,0.7383,146.17,97.88,615.87,243.19
000261_jpg.rf.ed799e6e25de367fd018b9aa2ce02191.jpg,3,shipwreck,0.8372,109.09,276.5,513.82,411.56
000263_jpg.rf.7347847c72fc8a781d0a79380b1bff12.jpg,3,shipwreck,0.8967,234.82,166.31,299.99,423.83
000271_jpg.rf.1332d9e92475ded141829ed086e0fa00.jpg,3,shipwreck,0.4289,226.15,22.31,410.57,515.17
000271_jpg.rf.1332d9e92475ded141829ed086e0fa00.jpg,3,shipwreck,0.4071,228.46,26.79,499.44,517.34
000271_jpg.rf.1332d9e92475ded141829ed086e0fa00.jpg,3,shipwreck,0.2797,147.38,15.89,613.84,512.69
000272_jpg.rf.0caa052f87c0e2f65a3b86f172bbc9ef.jpg,0,aircraft,0.825,23.05,84.74,511.43,636.63
000276_jpg.rf.36ea31f7222c6bc6b2688bdbad48aab5.jpg,3,shipwreck,0.7772,122.15,163.53,519.81,304.75
000357_jpg.rf.d9855148b2009540a70177753975970a.jpg,3,shipwreck,0.5657,23.98,16.34,194.92,630.41
000357_jpg.rf.d9855148b2009540a70177753975970a.jpg,2,other,0.4079,468.74,342.06,497.43,381.99
000357_jpg.rf.d9855148b2009540a70177753975970a.jpg,3,shipwreck,0.4048,61.85,10.01,201.12,577.25
000382_jpg.rf.212ec29554384600221595d824fbf4be.jpg,3,shipwreck,0.4744,54.86,21.37,588.72,517.88
000388_jpg.rf.347bb71e490d6a2ec1775646b4ed7f64.jpg,3,shipwreck,0.4454,241.19,152.0,425.06,295.68
000403_jpg.rf.01d5e5309a10dd3c45f1a134527eeeac.jpg,3,shipwreck,0.8713,195.73,162.14,387.02,482.61
000420_jpg.rf.7deb9defe28fe81987805ced38e90f30.jpg,3,shipwreck,0.564,243.53,188.51,484.48,575.45
000420_jpg.rf.7deb9defe28fe81987805ced38e90f30.jpg,3,shipwreck,0.3384,330.53,0.0,417.83,134.18
000436_jpg.rf.0e115012d10040c027bb334ee668df55.jpg,3,shipwreck,0.4272,22.4,72.24,184.22,145.74
000436_jpg.rf.0e115012d10040c027bb334ee668df55.jpg,3,shipwreck,0.2997,16.36,72.83,271.83,236.88
000436_jpg.rf.0e115012d10040c027bb334ee668df55.jpg,3,shipwreck,0.2546,587.47,142.87,640.0,243.27
