epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.286,1.81999,3.55008,1.75265,0.00985,0.6596,0.09257,0.03885,1.64824,4.11546,1.91142,0.000408497,0.000408497,0.000408497
2,254.58,1.72633,2.97079,1.68531,0.54761,0.09036,0.06206,0.02717,2.19632,3.87325,2.36202,0.000808825,0.000808825,0.000808825
3,377.143,1.81109,3.00998,1.7979,0.339,0.19558,0.07597,0.02851,2.13823,4.0687,2.33144,0.00119265,0.00119265,0.00119265
4,500.318,1.83398,3.02435,1.84026,0.73056,0.09345,0.06862,0.02763,2.31548,6.80526,3.12301,0.00117575,0.00117575,0.00117575
5,625.024,1.81857,2.90747,1.84573,0.56793,0.11446,0.06999,0.02453,2.17818,7.3928,2.71261,0.001151,0.001151,0.001151
6,748.595,1.85279,2.83304,1.82589,0.81822,0.1266,0.08112,0.03242,2.10639,10.472,2.48391,0.00112625,0.00112625,0.00112625
7,872.424,1.80581,2.76066,1.81732,0.07542,0.15009,0.06289,0.02267,2.12801,3.81706,2.49306,0.0011015,0.0011015,0.0011015
8,994.901,1.7967,2.69792,1.78556,0.35986,0.19256,0.10103,0.04727,1.9262,3.55539,2.18622,0.00107675,0.00107675,0.00107675
9,1119.21,1.77709,2.60396,1.76224,0.12722,0.26489,0.10009,0.03727,2.00379,3.61827,2.27617,0.001052,0.001052,0.001052
10,1242.7,1.76492,2.54924,1.80209,0.35347,0.25047,0.11144,0.05224,2.14207,3.26092,2.30232,0.00102725,0.00102725,0.00102725
11,1367.13,1.70699,2.37172,1.74105,0.3061,0.31385,0.26734,0.10747,1.90826,2.59363,2.08783,0.0010025,0.0010025,0.0010025
12,1492.59,1.71843,2.38579,1.69185,0.31186,0.21993,0.2176,0.10132,1.81299,2.89267,2.04845,0.00097775,0.00097775,0.00097775
13,1616.88,1.65812,2.21326,1.65436,0.56951,0.26961,0.20134,0.09259,1.77187,3.60966,2.0763,0.000953,0.000953,0.000953
14,1740.77,1.62626,2.27563,1.69833,0.34885,0.21179,0.2258,0.10589,1.81879,2.53713,2.02921,0.00092825,0.00092825,0.00092825
15,1863.33,1.60124,2.04437,1.60235,0.2639,0.37735,0.26716,0.12526,1.77379,2.43796,1.98943,0.0009035,0.0009035,0.0009035
16,1987.62,1.61267,2.07033,1.62742,0.4279,0.34386,0.31024,0.15475,1.75798,2.32476,1.9903,0.00087875,0.00087875,0.00087875
17,2111.28,1.5715,2.04902,1.57048,0.42715,0.4177,0.34883,0.16629,1.66535,2.3309,1.9288,0.000854,0.000854,0.000854
18,2235.04,1.55476,2.01328,1.58591,0.41369,0.40191,0.29563,0.13355,1.82408,2.52803,2.11783,0.00082925,0.00082925,0.00082925
19,2359.83,1.54829,1.96195,1.56445,0.53058,0.39938,0.39608,0.18026,1.73341,2.26974,1.92127,0.0008045,0.0008045,0.0008045
20,2483.57,1.57039,1.99815,1.57939,0.47458,0.32164,0.34919,0.17035,1.79026,2.45523,2.03741,0.00077975,0.00077975,0.00077975
21,2607.18,1.51753,1.90163,1.55559,0.48229,0.29777,0.36153,0.16728,1.6702,2.15252,1.88836,0.000755,0.000755,0.000755
22,2731.58,1.50789,1.87865,1.55926,0.53527,0.36987,0.33715,0.17323,1.6164,2.17108,1.85071,0.00073025,0.00073025,0.00073025
23,2855.8,1.48309,1.83611,1.5104,0.51009,0.36123,0.36746,0.19591,1.65967,2.12547,1.86011,0.0007055,0.0007055,0.0007055
24,2981.24,1.52084,1.81672,1.5535,0.64963,0.35856,0.35216,0.15487,1.71728,2.30523,1.93869,0.00068075,0.00068075,0.00068075
25,3104.3,1.46065,1.80315,1.51374,0.60584,0.27601,0.29871,0.15398,1.68192,2.49277,1.92907,0.000656,0.000656,0.000656
26,3228.2,1.48315,1.78649,1.51067,0.59031,0.34582,0.37898,0.18595,1.57835,2.05133,1.80164,0.00063125,0.00063125,0.00063125
27,3352.98,1.44305,1.72638,1.46651,0.581,0.3629,0.41386,0.19774,1.63504,2.34841,1.87487,0.0006065,0.0006065,0.0006065
28,3483.32,1.43423,1.68512,1.52176,0.5348,0.36168,0.36518,0.19808,1.67103,2.2547,1.88474,0.00058175,0.00058175,0.00058175
29,3603.15,1.37329,1.66538,1.44877,0.49957,0.43384,0.41908,0.21745,1.61372,1.94244,1.86216,0.000557,0.000557,0.000557
30,3723.26,1.41422,1.66696,1.48619,0.48422,0.38408,0.43457,0.21307,1.56441,1.93137,1.79014,0.00053225,0.00053225,0.00053225
31,3844.22,1.36828,1.61679,1.46322,0.62538,0.43025,0.46846,0.23171,1.631,1.86469,1.82049,0.0005075,0.0005075,0.0005075
32,3965.43,1.36627,1.6493,1.44069,0.77965,0.35089,0.43964,0.23515,1.61217,1.91846,1.86434,0.00048275,0.00048275,0.00048275
33,4088.16,1.38297,1.57622,1.4486,0.69509,0.36923,0.46462,0.24555,1.65194,1.87084,1.88348,0.000458,0.000458,0.000458
34,4208.83,1.41891,1.59074,1.46357,0.53128,0.5096,0.48433,0.26391,1.57335,1.82909,1.80016,0.00043325,0.00043325,0.00043325
35,4329.99,1.37198,1.56304,1.47721,0.59426,0.44003,0.48034,0.26281,1.53776,1.77176,1.76366,0.0004085,0.0004085,0.0004085
36,4452.51,1.33091,1.49483,1.42769,0.53547,0.47986,0.48427,0.26738,1.56035,1.77739,1.75473,0.00038375,0.00038375,0.00038375
37,4575.79,1.31785,1.52921,1.42937,0.68997,0.40377,0.47512,0.27377,1.48818,1.95409,1.70577,0.000359,0.000359,0.000359
38,4698.95,1.35788,1.48275,1.39352,0.69954,0.43653,0.49173,0.27182,1.57894,1.84435,1.78648,0.00033425,0.00033425,0.00033425
39,4821.56,1.27911,1.44365,1.39041,0.66129,0.4374,0.48478,0.26609,1.55276,1.82048,1.80839,0.0003095,0.0003095,0.0003095
40,4945.36,1.31375,1.50081,1.4141,0.51616,0.44506,0.4596,0.25545,1.55961,1.91825,1.80821,0.00028475,0.00028475,0.00028475
41,5067.41,1.20941,1.34837,1.39454,0.58464,0.43172,0.47098,0.25387,1.57425,1.91848,1.81982,0.00026,0.00026,0.00026
42,5188.61,1.19788,1.30623,1.38541,0.73079,0.43499,0.48254,0.26546,1.5209,1.75453,1.78221,0.00023525,0.00023525,0.00023525
43,5309.92,1.19871,1.20746,1.35111,0.73888,0.40685,0.47023,0.25915,1.54461,1.76769,1.80149,0.0002105,0.0002105,0.0002105
44,5431.91,1.1196,1.19316,1.3398,0.72575,0.40384,0.47034,0.24385,1.58726,1.85305,1.81442,0.00018575,0.00018575,0.00018575
45,5555.64,1.10168,1.11541,1.29416,0.6167,0.42857,0.46395,0.26002,1.53843,1.8313,1.78496,0.000161,0.000161,0.000161
46,5678.66,1.0911,1.12668,1.30021,0.73184,0.37701,0.46359,0.26503,1.53462,2.02072,1.77924,0.00013625,0.00013625,0.00013625
47,5801.24,1.07597,1.11816,1.30004,0.65617,0.41288,0.46778,0.26978,1.53728,2.04754,1.78855,0.0001115,0.0001115,0.0001115
48,5921.7,1.07202,1.07343,1.30164,0.8123,0.37666,0.47523,0.26868,1.51524,2.02327,1.74502,8.675e-05,8.675e-05,8.675e-05
49,6043.11,1.04699,1.04953,1.26589,0.80917,0.40339,0.48316,0.26451,1.50072,2.01208,1.71115,6.2e-05,6.2e-05,6.2e-05
50,6164.18,1.06182,1.05058,1.30747,0.81501,0.40849,0.48448,0.26667,1.50261,2.03588,1.71809,3.725e-05,3.725e-05,3.725e-05
