epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.559,1.84198,3.56074,1.77224,0.5943,0.0241,0.05378,0.02457,1.9226,4.28247,2.21313,0.000408497,0.000408497,0.000408497
2,267.037,1.72908,2.98922,1.73433,0.53365,0.12048,0.05059,0.01671,1.9957,4.17566,2.27202,0.000808825,0.000808825,0.000808825
3,393.826,1.76137,2.93107,1.7488,0.60814,0.08398,0.06749,0.02392,2.17037,5.47736,2.43408,0.00119265,0.00119265,0.00119265
4,519.431,1.83322,2.9922,1.81427,0.81505,0.08133,0.07147,0.03271,1.96885,6.3073,2.46109,0.00117575,0.00117575,0.00117575
5,644.245,1.82683,2.84068,1.83009,0.28199,0.17671,0.1181,0.04698,1.94624,5.37641,2.23155,0.001151,0.001151,0.001151
6,767.73,1.78306,2.74746,1.78307,0.64924,0.25248,0.15755,0.06625,1.87449,4.74583,2.26778,0.00112625,0.00112625,0.00112625
7,891.948,1.73394,2.61374,1.73251,0.12699,0.26179,0.12925,0.04832,1.94528,4.20055,2.24466,0.0011015,0.0011015,0.0011015
8,1016.18,1.7524,2.64192,1.74538,0.17916,0.18905,0.1762,0.07741,1.97212,3.18673,2.30014,0.00107675,0.00107675,0.00107675
9,1140.98,1.75625,2.54443,1.76079,0.19384,0.19071,0.19196,0.08037,1.94657,2.71771,2.1674,0.001052,0.001052,0.001052
10,1265.81,1.69038,2.4332,1.71151,0.32495,0.25287,0.23404,0.11104,1.82204,2.68995,2.03045,0.00102725,0.00102725,0.00102725
11,1390.18,1.67874,2.28676,1.64823,0.2364,0.24439,0.23633,0.09789,1.94205,3.04309,2.12745,0.0010025,0.0010025,0.0010025
12,1514.96,1.73291,2.32698,1.70027,0.20369,0.28506,0.16648,0.07714,1.79934,3.1959,1.97173,0.00097775,0.00097775,0.00097775
13,1638.85,1.6499,2.24906,1.6485,0.25324,0.23883,0.19164,0.08799,1.90122,2.83523,2.16144,0.000953,0.000953,0.000953
14,1763.15,1.59158,2.27323,1.65728,0.33136,0.31361,0.28772,0.13973,1.77127,2.57077,1.96863,0.00092825,0.00092825,0.00092825
15,1887.42,1.61194,2.07441,1.59736,0.29988,0.27587,0.24995,0.11834,1.74587,2.69586,1.99388,0.0009035,0.0009035,0.0009035
16,2010.53,1.60258,2.05241,1.59715,0.49441,0.25688,0.28857,0.13791,1.74466,2.50003,1.91988,0.00087875,0.00087875,0.00087875
17,2134.12,1.56538,2.03969,1.57731,0.2664,0.29783,0.25026,0.12267,1.70833,2.4532,1.90409,0.000854,0.000854,0.000854
18,2258.42,1.52464,1.96583,1.55274,0.48439,0.25679,0.3232,0.14869,1.70164,2.23918,1.94797,0.00082925,0.00082925,0.00082925
19,2382.41,1.53055,1.93562,1.54559,0.44717,0.31901,0.33312,0.15789,1.67056,2.1996,1.8935,0.0008045,0.0008045,0.0008045
20,2505.58,1.53228,1.9763,1.56003,0.55972,0.29054,0.357,0.17163,1.64019,2.23721,1.87473,0.00077975,0.00077975,0.00077975
21,2630.17,1.50577,1.88372,1.56138,0.44516,0.33591,0.38655,0.17915,1.62677,2.06274,1.85064,0.000755,0.000755,0.000755
