epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.438,1.84815,3.56521,1.79649,0.01007,0.54109,0.07088,0.02701,1.80825,4.30456,2.086,0.000408497,0.000408497,0.000408497
2,245.607,1.71184,2.96294,1.72884,0.56715,0.13855,0.0933,0.04418,1.89879,4.0839,2.21651,0.000808825,0.000808825,0.000808825
3,367.097,1.82631,2.99419,1.79871,0.77395,0.0753,0.03707,0.01197,2.25653,7.14495,2.81917,0.00119265,0.00119265,0.00119265
4,488.898,1.93175,3.0686,1.87177,0.83113,0.06024,0.05471,0.01759,2.47381,7.78034,2.98769,0.00117575,0.00117575,0.00117575
5,610.07,1.86853,2.87267,1.83199,0.36613,0.19701,0.05697,0.01702,2.47445,4.65292,2.78929,0.001151,0.001151,0.001151
6,731.06,1.87253,2.76184,1.85256,0.37512,0.23774,0.07153,0.02804,2.08564,5.08551,2.35956,0.00112625,0.00112625,0.00112625
7,851.923,1.79436,2.7317,1.79132,0.20714,0.0921,0.11912,0.04868,2.00777,3.96619,2.26175,0.0011015,0.0011015,0.0011015
8,973.01,1.80135,2.66696,1.79126,0.65236,0.15556,0.14555,0.0631,2.12148,3.22621,2.27487,0.00107675,0.00107675,0.00107675
9,1095.28,1.72561,2.62761,1.74318,0.12954,0.38163,0.15141,0.06133,1.97035,4.76115,2.19946,0.001052,0.001052,0.001052
10,1216.16,1.7137,2.51032,1.7622,0.10624,0.16052,0.12696,0.055,1.97887,3.69636,2.28986,0.00102725,0.00102725,0.00102725
11,1336.97,1.66437,2.36425,1.68774,0.2213,0.25386,0.23535,0.10461,1.82502,2.70747,2.00587,0.0010025,0.0010025,0.0010025
12,1457.8,1.70639,2.38434,1.67102,0.35051,0.30558,0.2768,0.12601,1.82985,2.72437,2.00656,0.00097775,0.00097775,0.00097775
13,1578.6,1.63852,2.25215,1.65231,0.42229,0.30446,0.31384,0.13919,1.72555,2.73261,2.0044,0.000953,0.000953,0.000953
14,1699.3,1.59088,2.31925,1.65709,0.28984,0.28054,0.22903,0.10629,1.70633,2.52125,1.90792,0.00092825,0.00092825,0.00092825
15,1823.05,1.63243,2.12614,1.63869,0.40401,0.30496,0.28677,0.14191,1.71496,2.44588,1.96259,0.0009035,0.0009035,0.0009035
16,1943.77,1.59228,2.06969,1.60146,0.36444,0.35439,0.2976,0.13846,1.75897,2.41964,1.98843,0.00087875,0.00087875,0.00087875
17,2065.01,1.62604,2.07963,1.60666,0.5119,0.28044,0.27503,0.13446,1.74227,2.50716,1.94596,0.000854,0.000854,0.000854
18,2187.28,1.56655,2.01268,1.5813,0.33408,0.35338,0.33325,0.16097,1.65174,2.2798,1.9369,0.00082925,0.00082925,0.00082925
